Movie Title,Movie Rating,Genre,Box Office,Run Time(min),Stars
50. Anand (1971),8.5 Rate this,"Drama, Musical","Votes: 28,192",122 min,"Director: Hrishikesh Mukherjee | Stars: Rajesh Khanna, Amitabh Bachchan, Sumita Sanyal, Ramesh Deo"
51. Once Upon a Time in the West (1968),"8.5 Rate this
80 Metascore",Western,"Votes: 295,390 | Gross: $5.32M",165 min,"Director: Sergio Leone | Stars: Henry Fonda, Charles Bronson, Claudia Cardinale, Jason Robards"
52. Psycho (1960),"8.5 Rate this
97 Metascore","Horror, Mystery, Thriller","Votes: 587,094 | Gross: $32.00M",109 min,"Director: Alfred Hitchcock | Stars: Anthony Perkins, Janet Leigh, Vera Miles, John Gavin"
53. Casablanca (1942),"8.5 Rate this
100 Metascore","Drama, Romance, War","Votes: 510,168 | Gross: $1.02M",102 min,"Director: Michael Curtiz | Stars: Humphrey Bogart, Ingrid Bergman, Paul Henreid, Claude Rains"
54. Modern Times (1936),"8.5 Rate this
96 Metascore","Comedy, Drama, Family","Votes: 211,370 | Gross: $0.16M",87 min,"Director: Charles Chaplin | Stars: Charles Chaplin, Paulette Goddard, Henry Bergman, Tiny Sandford"
55. City Lights (1931),"8.5 Rate this
99 Metascore","Comedy, Drama, Romance","Votes: 162,775 | Gross: $0.02M",87 min,"Director: Charles Chaplin | Stars: Charles Chaplin, Virginia Cherrill, Florence Lee, Harry Myers"
56. Capernaum (2018),"8.4 Rate this
75 Metascore",Drama,"Votes: 53,701 | Gross: $1.66M",126 min,"Director: Nadine Labaki | Stars: Zain Al Rafeea, Yordanos Shiferaw, Boluwatife Treasure Bankole, Kawsar Al Haddad"
57. Your Name. (2016),"8.4 Rate this
79 Metascore","Animation, Drama, Fantasy","Votes: 178,726 | Gross: $5.02M",106 min,"Director: Makoto Shinkai | Stars: Ryûnosuke Kamiki, Mone Kamishiraishi, Ryô Narita, Aoi Yûki"
58. Dangal (2016),8.4 Rate this,"Action, Biography, Drama","Votes: 148,031 | Gross: $12.39M",161 min,"Director: Nitesh Tiwari | Stars: Aamir Khan, Sakshi Tanwar, Fatima Sana Shaikh, Sanya Malhotra"
59. Spider-Man: Into the Spider-Verse (2018),"8.4 Rate this
87 Metascore","Animation, Action, Adventure","Votes: 336,332 | Gross: $190.24M",117 min,"Directors: Bob Persichetti, Peter Ramsey, Rodney Rothman | Stars: Shameik Moore, Jake Johnson, Hailee Steinfeld, Mahershala Ali"
